content_lem,sentiment,predicted,length
this play get a one review for nostalgia it be confusedly write a a mash of fiction stage play and movie script the story be pleasant at time but if you follow it too closely youwill see there isnt all that much there whats unforgivable be any marketing be this book a canon it be not ,0,1,285
i love harry potter everythingbooks movie memorabilia the universal studio wizarding world the cursed child just didnt work for me it seem kind of flat and the character werent as likeable a the first seven book i still flip through my copy but this be a disappointing read for any potterhead ,0,1,293
i personally could never get into the story while try to read a play formatmost people probably love it but i didnt make it very far before put it downthe other potter book be all consuming and i hat to put them down for basic necessity such a prepare meal and eat disappoint would describe my opinion ,0,1,302
harry be do now roll tweet the other day yeah where have we hear that one before do until the next cash grab come along maybe the publisher will milk this dead cow until she dry up then look for the inevitable reboot or spinoff it star war all over again harry potter have become the mcdonalds of fantasy ,0,1,305
i really do not like this play it do not flow the story line be good but fail to develop the character it just seem to fee off of the potter phenomenon and not really develop it far if you be a complete potter fan i suppose i could recommend it but not if you be a purist with your own delightful imagination ,0,1,309
i love harry potter everything about harry potter i read fan fic and it be mostly good this be just bad fan fic i doubt rowling have much input maybe the play be well since there be much more to fill the sens that way but the character interaction be cringe worthy i keep hop it would get good and it never do ,0,1,310
meh not up to ms rowlings usual exacting standard for write the plot be lackluster predictable and thoroughly unengaging i find myself root against the protagonist who be nothing but a spoiled brat your time would be good spent read one of the original harry potter novel which be decidedly more well original ,0,1,310
i want to love it i want to like it but every time i pick it up it just a bit weirdwith out spoil it for you this be a script not a book a script so if you like read script with your buddy and you have a thing for the potter boy this will be your booki wont be go to see the play when it come to town and this book wont get reread ,0,1,331
you could tell as soon a you start read that these be not jk rowlings character it be hard to get into the harry potter mind set when the character didnt act like themselves the dialogue be bore i think it be probably well a a play since i love harry potter it be fun to read more about him but honestly i wont be reread it like my other hp book ,0,1,346
i hat the script a oppose to a write novel the character be insufficiently flesh outand the plot fail to develop into anything remotely interest what should have be a very interesting look at harry potter life a an adult and the adventure of his child turn into a juvenile attempt next time jk rowling should leave it to her fan to write the next novel what a shame ,0,1,366
be so hop this would be a omg i love it harry potter book i purchase the hardback book and feel it would have be even more difficult to read in kindle format not impressed with read the play format and i felt it be just a back story to get people interested in the harry potter franchise again disappointed but a it be the only way to catch up on potter i slog through it ,0,1,372
ive read on the internet that this work much good a a play than a a book apparently the special effect in the play be 90 of the fun i hope this be true since the story itself be tire and cliched youve probably read it before only now you can slap the harry potter name onto it i prefer to think of this a an alternate universe story since it hard for me to reconcile the original series with this ,0,1,397
i think that it wrong that amazoncom be call this book 8 of 8 in the harry potter series it not a book in the sense that the seven novel in the series be it a transcript of the play even more importantly it be not write by jk rowling she be credit with be one of three people who create the new original story but to the best of my knowledge she do not actually write one word of the play caveat emptor people ,0,1,410
dear readeri love harry potter i love hogwarts i love the book the movie the theme park all of itthis however be junk story be lame dialogue be corny and the whole thing feel well fundamentally contrivedim glad jk rowling be rich she deserve it but this junk be a marketing stunt go wrong sure some hardcore fan be go to love it but deep down they know the truth this be a cash cow nothing more nothing lesswish i could get the time back with a wave of my wand ha ,0,1,464
this book be a fun read to hold on to harry potteri be extremely excited to see how the future of their life and their kid life turn outslytherin concept be perfectplot be rush through and too jumpy due to play conceptactual cast for the play terrible if you enjoy the movie have set look and personality that define them in the movie change will throw you offworth the money just dont get to excitedit should be rewrite in a book format not play to fill in the missing space ,0,1,476
i read harry potter to my kid and we all fell in love with the book this be fun but a very light and disappointing read it really only fully engage me emotionally a handful of time which be in stark contrast to the series it be write a a play script my 14 your old daughter read this in one day and i read it in about 6 hour harry potter fan will want to read it but dont expect much and it might be worthwhile to wait and borrow it from a friend they will finish the book quickly ,0,1,481
not a novel miss all the color scenery background that go into novel just text and some action by the actor quizzical look another and book like james patterson and or tom clancy and write by an author tire of writing who have a publisher that need another book maybe if it be a graphic novel i hope the play fill it out sufficiently but expectation be low for a play than a novel one expect some thing to be symbolically represent or skip by because quidditch sp just cant be truly be reproduce in a theater or even a stadium but a novel novel can hold whole universe this be just a script ,0,1,591
a very unoriginal plot accompany by a desperate attempt to invoke nostalgia in reader and attempt to offer them some insight in a broad story of the potter family to me it felt like the tvshow lose set in a world of fantasy mistery after mistery bring the story to a point where a reader will think how the hell be they go to solve this whole connundrum and in the end offer a very desperate conclusion to the whole adventure try to convey some great message in relation to family relationship not to mention the fantastical amount of plot holesi like snapes part in the story though be neat ,0,1,592
i find the dialogue simple and the relationship archaicjk rowling achieve with book 17 what only a handful of author have she make nonreader and reader both young and old male and female discover a passion for reading and to actually anticipate a book to be release for me harry be never daniel radcliffe or whoever be play him on stage but he be her word and my imagination first and formost a with most people who read the book first by release it in this form and without stay true to the character and part that even counteract the previous book it take for me the escape and true magic away ,0,1,596
the familiar story format be not use i can read play format but they do not allow my reading style to skim then feast on good scenesi be also very disappointed that harry son the protagonist be so down on himself these young people be real and all around u however i keep want him to have more good day than bad this child do not have the attitude harry have that each day he wake would be one of adventure learning and deal with the issue of the story plotthe plot be slow very like a two film where the story be not new but a rerun with new clothes an additional new character or so and new scenery ,0,1,601
i wasnt able to read it but i suspect that be because the character interaction or more specifically the affinity jk rowling writes with be miss and while i be sure the author intend well that be a huge reason her potter book be so successful the tremendous joy humor and love we all hold for harry ron hermione and eventually most of the hogwarts student and professor however in all fairness to the author of this work i put it down too quickly and perhaps it would have improve have i continue read it so this review may not help because the bottom line be make up your own mind and do not let me discourage you ,0,1,615
spoiler you can tell it be not write by jk rowling harry be a very different father than the one we saw send his son off to hogwarts in this version he be uncomfortable in the role of father and have a hard time relate to his son a sweet little old witch be turn into a demon truant officer and there be a very unlikely offspring a the new villain i look forward to read this and really try to like it but could not there be so much time travel and alternate universe that i think i must be read a dr who scifi rather than a rowling hogwarts fantasy the one redeem part be the pairing of best friend from the offspring of enemy ,0,1,628
ugh theres the root of a good story here too bad it be handle in such an inconsistent manner flash of brilliance depth of well notthis be title a a rehearsal script im interested to see how much of it survive the workshop and preview and make it into the final production include all of the wild staging challenge and multitudinous scene change this read like a screen play incompetently pose a a stage play and the characterization of the now adult character not a challenge id want to face be disappoint to say the leastbottom line this could have be a terrific novel then movie if write by jkr i can only hope they be able to fix the stage play now iwill look for review of that ,0,1,682
the story start out well i like the new character and the setup the first third of thes cript be entertain and feel almost but not quite like harry potter classic there be a few fun detail and backstory and it just feels good to be backunfortunately the rest of the script be quite disappointing the character be superficial and always act exactly a you expect the plot be ridicilous implausible and yet without any surprise whatsoever the dialogue read like a speech by donald trump it tell you in black and white what the world be like and how you should feel about it there be no nuance no room for interpretationi end up skip page to make it end sooner i be leave with one question why do rowling allow this ,0,1,712
the beginning of the end of what be once a perfect seriesthis book would be fine if it be a noncannon silly little childrens play but this be certify by rowling herself so it an abominationthe character be all inconsistent with what have be establish the plot be a excuse to have harry potter and the great hit collection on stage the twist be bland uninspired and illogical the book make a major mistake by bring back the timeturner something jk herself have say be a problem because of the plot hole it create well now we have a book consisting of nothing but plot holeslike i say if your kid want to see the play fine they will enjoy it however a a diehard adult hp fan it break my heart to see such a cheap product pas itself off a harry potter ,0,1,749
i just finish reading this book and i be so disappointed the character didnt feel like those i grow so fond ofspoiler alertthings that really bother me draco seem to have all of a sudden turn into some nice guy who like work with harry and hermione to make sure voldemort doesnt get back in power how many time do scorpius and albus need to hug at first i think it be a build up to them fall in love but it wasnt they both conveniently have crush on different girl the dialogue for ron weasley be downright annoy it like he regress into be a preadolescent boy rather than mature into an adult could scorpius be any nicer there be no complexity to his character at allit would have be nice to have see professor lupins son in the play i do enjoy get to see snape again but it seem contrive that character from the past get to tell what they be feel to the present day charactersi wish i never read this i would have like to keep the end of book 7 a the true end in my head ,0,1,972
grow up i love the harry potter book seriously from age 1221 i couldnt get enough i read every book over and over again on a loop so i be hesitant to read the cursed child the problem with most sequel be that they can tarnish the original and wouldnt that be awful while i dont think the cursed child ruin the original series it do stain some of the very best part of goblet of fire dead character be bring back to life briefly i really want to like this book and do the best i could to see through the screenplay style but the plot fall short our favorite character be reduce to onedimensional version of themselves the only way i get through this book be the pretend it be just bad fan fiction the one redeeming quality of the book be the end the whole first 90 have me shake my head and genuinely dislike our protagonist albus potter be kind of a jerk i easily could have do without read the book and imagine the whole story will eventually fade in my memory while the original story will be as love a the first time i finish the first book and every book after ,0,1,1065
i understand what this book be go to be before i take the leap page after page i read know it have to stand on it own merit and not in the shadow of the first 7 book that my friend be exactly where it fell short the story from start to finish the character and ultimate outcome be so incredibly lackluster and inconsequential that it break my heart remove harrys name from the cover and what you have leave be a bland uninteresting story and character that you have to struggle to connect with i wish i could give the book four thumb down but unfortunately i only have two so that will have to sufficealthough harry potter isnt the main character in this book and it hardly matter the story and character feel lifeless and the finished product feel more like a rough draft that wasnt fully flesh outit be always difficult be harry potter and it isnt much easy now that he be an overworked employee of the ministry of magic a husband and father of three schoolage childrenand lastly the formula that work so well in the original book be nowhere to be find the universal appeal of harry potter be that adult can remember be child and want to have magical power and go on adventure and most present day child want to have magical power and go on adventure who in their right mind young or old want to grow up to be an overworked employee that have no time to spend with their family jk rowling and her cohort have clearly be get their idea from the george lucas school of how to destroy your own legend sorry for the rant very disappointed in what could have be an amazing story ,0,1,1576
since the advent of kindle ive rarely buy paper book any more digital book be easy to store and a lot of time theyre cheap toowhen harry potter and the cursed child come out i thought about get a hard copy i love the harry potter series and what good way to celebrate the new story than to buy a book that i can display on my shelf but old habit die hard and i get the ebook insteadhalfway through the cursed child i become terrified that rowling would release a new edition of the deathly hallows my favorite in the series and one of my alltime favorite book ever be a star war fan as well a a harry potter fan im well aware of the tendency to change the old more beloved story to fit the new stuff instead of take care to make sure the new stuff doesnt contradict the real storyand i dont want my deathly hallows change thank you very much it harry and not ginny who tell albus that he like a laugh your brother i know kindle periodically send out update to book and what if one day i accidentally hit a button and my deathly hallows get update what if harry isnt a good father in my epilogue anymorehaving work myself up into a complete panic i hurry to amazon and buy myself a paper copy of harry potter and the deathly hallows there now the story will always end like it suppose to harry a great dad and his scar doesnt hurt youwill have to break into my house and vandalize my beloved book before that changesin the interest of fairness i will say that i thoroughly enjoy the character of scorpious malfoy and have the play follow his schooldays adventure with albus potter i would have willingly purchase a paper copy of that story instead of whatever it be the play actually be it wasnt just that i didnt like how much it change thing and character the script just really didnt hold my attention i keep drift off while read and i use to read shakespeare play script a a child so it wasnt the format that bore me it just wasnt good and wasnt harry potter ,0,1,1962
it nineteen year later and harry potter be a grown man with three child ready to head off to hogwarts his eldest son albus severus potter isnt that great at magic get sort into slytherin and become best friend with draco malfoys son scorpius albus be lose in the shadow of his famous father and a bit of a disappointment to everyone around except scorpius harry be beleaguer both by draco who want harry to squash rumor that scorpius be really the son of voldemort and by amos diggory who blame harry for his son cedrics death during the triwizard tournament way back in harry potter and the goblet of fire in an attempt to impress his dad albus and scorpius steal a time turner from the ministry of magic and with the help of amoss niece delphi try to save cedrics life a with most time travel story go back in the past to make thing good inevitably make them worsewhile the story itself be interesting enough though average to poor by harry potter standard the book suffers from be a script a lot of the stage direction and action seem hard if not impossible to produce on stage for example polyjuice potion be use to change one character into another there be a lot of location and magical fight that be hard to picture a convincing on the stage an early montage sequence where albus age a few year be less effective because i wonder how they could possibly pull it off convincingly the experience of see a production and how impressively they handle thing would be much good than reading and scratch one head at the improbability of execute it welli would much rather have read the original story than the play version of the story read a play be a less experience precisely because the play be suppose to be produce on a stage with actor costume set et cetera it like read sheet music rather than listen to a song the full experience just isnt there of course the execution of the song could be wonderful or horrible depend on the performer skill or lack thereof a novel version of this story would be good for me because id rely on imagine the story rather than imagine it a a stage productionmy advice would be to wait around for a production to come to a city near you or wait for a novel version or the probably inevitable movie version ,0,1,2246
harry potter be one of the most singular define moment of my generation we anticipate and devour each book a it arrive embrace see our favourite character on the big screen year after year i love these character and their strange magical sometimes dark universe simply put l grow up with hogwartsi want to find out what happen to my childhood friend i have grow up and so have they we last get a glimpse of their future a harry and ginny waive goodbye to son albus on the train that would take him to his first year at hogwarts harry potter and the cursed child pick up exactly at that moment we be leave off all these year ago to be honest harry potter and the cursed child be not quite the hp l grow up with many factor come into play for one it doesnt feel write by the same author the pace be alter and it be not a complex and rich a be usual jk rowling approve the script but it seem thats all she didsometimes word speak or action take by the character feel slightly out of place when rowling write the book she know the character inside out and there be no question that fact a such many fan feel like they know these character it be interest to see how harry and other character age but l cant help but imagine some potterheads might be disappoint by some of their beloved wizard action l find myself question some action think they be out of line with the character on occasion l felt they be deadon with ron and at time l think they be make him out to be a big goof with little substancehowever much of the intrigue and action of cursed child lie in two character albus severus potter and scorpius malfoy child of draco malfoy a lot of cursed child development happen between those two character to have this much weight cast upon a new addition in the harry potter world be a considerable and bold move a good portion of the book focus on the boy relationship in the hp book we know harry ron and hermione be great friend and mean a lot to one another we werent remind of that fact every five minute neither do we have it shove down our throat the way curse child do with albus and scorpius which wasnt necessarywithout reveal too much harry potter and the cursed child have more to do with timetravelling and alternate dimension and frankly what ifs than anything else it mildly interesting but mostly confuse the idea of revisit the past be baffle in the first place i feel jk rowling would have move forward in her storytelling not backwards fan have become attach to the story a they already be and it doesnt allow this new chapter of the hp universe to truly be it own in fact all these time travel element hinder from the cursed child feel like it own story too much of the play be focus on specific event that happen in the past that be force to revisit part l be mildly interesting but the good element of the first start to derail in the second the end be fit but didnt feel particularly reward there be a big theme in harry and draco difficult relationship with their son and the struggle of fatherhood this add a different perspective to the character and franchise if you be hop for another traditional hp volume this be not it by any meanssurely some be apprehensive at the idea of the book be write a a play instead of a novel l know l have doubt the play format work surprisingly well i be impress by how strong of a flow curse child have give it format the brief description and narration complement the storyharry potter and the cursed child will no doubt be a divisive topic among fan of the series it not to say it all bad i like some aspect of the book and felt it flaw in others it not the heartwarming story it aim to be curse child struggle with it legacy try a it might this chapter doesnt feel like the true continuation of the tale of our beloved wizard there be simply less magic this time around 2 12 star ,0,1,3845
